name,type,summary,state,updated,lat,lng,size,url,id,contained
Wrentham Market,Wildfire,The Wrentham Market Fire began on 06/29 east of Dufur in Wasco...,OREGON,2021-07-04 11:38:39,45.49,-121.006,"7,222 Acres",/incident/7589/,7589,100
Mescal Post-Fire BAER,Burned Area Emergency Response,THREE PHASES OF WILDFIRE RECOVERY  There are three phases of...,ARIZONA,2021-07-03 23:04:24,33.114,-110.596,0 Acres,/incident/7573/,7573,0
Deep Creek Canyon Fire,Wildfire,  Wildfire Information Deep Creek Canyon FireTownsend Ranger...,MONTANA,2021-07-02 16:28:53,46.349,-111.165,"4,648 Acres",/incident/7536/,7536,98
Haystack,Wildfire,"On June 7th, the lightning caused Haystack Fire, located 18 miles...",ALASKA,2021-07-01 12:29:08,65.14,-147.604,927 Acres,/incident/7548/,7548,100
Magic Feather Prescribed Burn,Prescribed Fire," &amp;#183;Firefighters monitored the Magic Feather Prescribed Burn, east...",COLORADO,2021-06-30 13:51:11,40.764,-105.542,"6,329 Acres",/incident/6403/,6403,0
Rock Butte Fires ,Wildfire,&gt;&gt;DAILY ROCK BUTTE FIRES UPDATESROCK BUTTE FIRES - Multiple fires...,ARIZONA,2021-06-28 22:11:13,34.995,-112.432,802 Acres,/incident/7556/,7556,80
Wild Cow Fire,Wildfire,"June 28, 2021This is the final update for the Wild Cow Fire.  The...",COLORADO,2021-06-28 18:57:39,39.525,-108.908,560 Acres,/incident/7575/,7575,100
Cutoff Fire,Wildfire,"The Cutoff Fire is currently burning on private, Fremont-Winema...",OREGON,2021-06-28 11:02:50,42.285,-121.402,"1,288 Acres",/incident/7561/,7561,96
Bear,Wildfire,"June 27, 2021 - Last planned updated. The Bear Creek Fire is being...",UTAH,2021-06-28 09:28:53,39.739,-110.898,"12,174 Acres",/incident/7530/,7530,93
Bennion Creek,Wildfire,"As of Monday, June 28, 2021, there are no area and no road closures...",UTAH,2021-06-28 09:26:31,39.869,-111.228,"8,313 Acres",/incident/7518/,7518,94
Alamo Fire ,Wildfire,"The Alamo Fire was reported on Sunday, June 20, 2021 at 1 pm.  The...",ARIZONA,2021-06-26 11:54:13,31.36,-111.149,"4,953 Acres",/incident/7570/,7570,90
